"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","성별(AS_GNDR_CD)","연령대(AGE_GR_SCTN_CD)","주중보행인구수(WKDY_FLPOP_CNT)","주말보행인구수(WKND_FLPOP_CNT)","거주지코드(INFLOW_ADMIN_CD)","행정동코드(ADMI_CD)","기준년월(STD_YM)"
"4*8*5*8*",188817.208099136,544753.711041257,"1","3034",0.3225,0,"11290760","11560560","201609"
"4*6*3*1*",190518.128718027,544869.088152518,"2","3034",0.0792,0.0216,"11290760","11320681","201712"
"4*7*9*2*",189229.907125254,542776.684585832,"1","6064",1.6455,0.1316,"11590640","11110515","201608"
"4*5*8*9*",190494.124838461,543572.37707804,"1","4044",0,0,"11590660","11500620","201609"
"4*4*5*6*",188931.5236732,544109.60138641,"1","3539",0.6288,0.0464,"11380580","11545710","201605"
"4*7*3*1*",189586.77354598,543767.05662122,"1","4044",0.154,0,"11470670","11230720","201602"
"4*7*6*6*",190267.618406864,543412.842399497,"2","3539",0,0.1484,"11620565","11560650","201607"
"4*5*0*8*",190343.606673492,543523.972321807,"2","6064",0.2064,0.1036,"11560710","11710610","201707"
"4*6*1*1*",189224.602229182,543672.899359645,"2","2024",0,0.1195,"11290580","11740690","201705"
"4*7*1*5*",190388.29911978,545173.838715522,"1","2024",0.2947,0.1956,"11470530","11290555","201601"
"4*8*2*0*",190649.415633978,545119.59822656,"2","5559",0,0,"44200","11140665","201606"
"4*8*2*8*",190192.027886425,545118.006525689,"1","7074",0.1932,0.6207,"47250","11410555","201611"
"4*7*3*1*",189792.060671451,543210.737609341,"1","5054",0.9429,0,"11170660","11545710","201710"
"4*9*2*9*",190076.12344929,543509.6517257,"1","6569",0.0012,0,"11500604","11305545","201712"
"4*6*8*8*",189126.732627528,543672.368950082,"1","3539",0.0139,0.1227,"11380600","11740540","201708"
"4*5*2*8*",189971.887452252,543359.664308941,"1","6064",0.2479,0,"11260690","11530770","201707"
"4*4*8*0*",188728.357802191,543177.713141336,"2","2024",0.1386,0.0624,"11140570","11170640","201601"
"4*7*6*5*",190748.347055233,545108.456333808,"1","4549",0,0,"11500605","11680740","201703"
"4*6*8*1*",190192.558222192,544565.399193758,"1","6064",0.1236,0,"11380580","11590530","201712"
"4*3*5*7*",190794.100676142,543414.433542897,"2","3539",2.216,0,"41117","11710641","201711"
"4*7*3*3*",189770.842798538,545221.712352129,"1","4044",0.1125,0,"11500530","11470560","201603"
"4*7*1*6*",189879.322760771,544569.643248907,"2","6064",0.5628,0,"41273","11170690","201607"
