"A 동별(1)","13999001 항목",Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4
"A 동별(1)","13999001 항목",001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상,001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상
"013 은평구","T001 계",459586,9137,11406,15694,18187,22476,34422,37716,30019,32242,33275,39117,38147,35263,34241,24837,19169,13739,7479,2425,526,69,458619,9160,11040,15493,18026,22048,34029,37751,30170,31603,33254,38560,38565,34889,34584,25522,19400,13726,7639,2541,543,76
"013 은평구","T002 한국인",455137,9073,11311,15615,17996,22039,33884,37184,29472,31771,32935,38795,37819,35024,34105,24773,19140,13719,7466,2423,524,69,454109,9107,10949,15416,17918,21564,33516,37160,29641,31100,32889,38256,38219,34638,34454,25432,19367,13703,7624,2539,542,75
"013 은평구","T003 등록외국인",4449,64,95,79,191,437,538,532,547,471,340,322,328,239,136,64,29,20,13,2,2,-,4510,53,91,77,108,484,513,591,529,503,365,304,346,251,130,90,33,23,15,2,1,1
"014 서대문구","T001 계",316832,6894,8567,10631,12487,25432,29337,26031,21271,22086,21179,24454,24042,21911,20472,14432,11464,8767,5195,1718,403,59,316837,6872,8272,10581,12150,25247,29572,26160,21425,21782,21297,24055,24323,21685,20800,14828,11534,8725,5239,1837,398,55
"014 서대문구","T002 한국인",300147,6802,8440,10439,11216,19307,25638,24563,20436,21412,20672,23984,23684,21613,20226,14289,11386,8710,5168,1706,400,56,300594,6798,8154,10403,11575,19387,25521,24571,20588,21096,20755,23608,23959,21373,20539,14671,11456,8665,5208,1821,394,52
"014 서대문구","T003 등록외국인",16685,92,127,192,1271,6125,3699,1468,835,674,507,470,358,298,246,143,78,57,27,12,3,3,16243,74,118,178,575,5860,4051,1589,837,686,542,447,364,312,261,157,78,60,31,16,4,3
"015 마포구","T001 계",369364,8277,10293,12498,13976,23833,36113,37688,29552,29006,26739,29903,26641,22695,20528,14457,11203,8781,4943,1798,388,52,368464,8262,9986,12469,13783,23671,35716,37479,29649,28715,26853,29454,27073,22495,20658,14873,11316,8646,5050,1857,407,52
"015 마포구","T002 한국인",357616,8161,10106,12323,13385,20879,33714,36207,28519,28230,26225,29475,26244,22423,20342,14326,11141,8754,4931,1794,387,50,356966,8163,9812,12280,13447,20903,33257,35962,28572,27934,26308,29045,26670,22203,20479,14729,11243,8621,5030,1853,405,50
"015 마포구","T003 등록외국인",11748,116,187,175,591,2954,2399,1481,1033,776,514,428,397,272,186,131,62,27,12,4,1,2,11498,99,174,189,336,2768,2459,1517,1077,781,545,409,403,292,179,144,73,25,20,4,2,2
"016 양천구","T001 계",428537,8307,14402,22922,23514,20769,26604,27908,24610,33189,36859,37724,34970,32178,30631,22392,15278,9181,4830,1813,390,66,427063,8272,14366,22893,23176,20117,26169,27820,24617,32985,36805,37190,34940,31739,31024,22981,15493,9222,4939,1846,401,68
