업종명,업소명,소재지(도로명),소재지(지번),업태명,
휴게음식점,누아네(NOIR NE),서울특별시 마포구 백범로 112-1  1층 (대흥동),서울특별시 마포구 대흥동 241-1 ,커피숍,
휴게음식점,뉴 욕쟁이 디저트 (서강대점),서울특별시 마포구 대흥로20안길 11  1층 (대흥동),서울특별시 마포구 대흥동 32-8 ,커피숍,
휴게음식점,니바뮤 월드(니바뮤 WORLD),서울특별시 마포구 와우산로29라길 22  1 2층 (서교동),서울특별시 마포구 서교동 333-14 ,커피숍,
휴게음식점,니벨크랙(NIVELCRACK),서울특별시 마포구 동교로18길 31  1층 (서교동),서울특별시 마포구 서교동 375-23 ,커피숍,
휴게음식점,다라커피,서울특별시 마포구 마포대로 68  1층 130호 (도화동  마포아크로타워),서울특별시 마포구 도화동 563 마포아크로타워 ,커피숍,
휴게음식점,다르(Dar),서울특별시 마포구 성미산로26길 26  지하1층 (연남동),서울특별시 마포구 연남동 256-7 ,커피숍,
휴게음식점,닥터베이크(Dr.Bake),서울특별시 마포구 동교로19길 44  1층 (서교동),서울특별시 마포구 서교동 449-27 1층 ,커피숍,
휴게음식점,단코,서울특별시 마포구 신촌로14길 19 (노고산동  1층일부),서울특별시 마포구 노고산동 54-41 ,커피숍,
휴게음식점,단편집,서울특별시 마포구 신촌로4길 5-25  북카페 지층 (동교동),서울특별시 마포구 동교동 179-10 북카페 ,커피숍,
휴게음식점,달리는커피,서울특별시 마포구 월드컵북로54길 25  상암DMC푸르지오시티  S-City 지1층 B119호 (상암동),서울특별시 마포구 상암동 1596 상암DMC푸르지오시티  S-City ,커피숍,
휴게음식점,달리는커피 공덕점,서울특별시 마포구 마포대로 156  공덕푸르지오시티 1층 106호 (공덕동),서울특별시 마포구 공덕동 475 공덕푸르지오시티 ,커피숍,
휴게음식점,달밍,서울특별시 마포구 월드컵로23길 20  망원빌 2층 202호 (망원동),서울특별시 마포구 망원동 485-28 망원빌 ,커피숍,
휴게음식점,달콤놀이터,서울특별시 마포구 와우산로21길 19-8  태경빌딩 4층 (서교동),서울특별시 마포구 서교동 364-2 태경빌딩 ,커피숍,
휴게음식점,달콤한가,서울특별시 마포구 대흥로4길 45  1층 102호 (용강동  리틀노이스),서울특별시 마포구 용강동 149-17 리틀노이스 ,커피숍,
휴게음식점,대루커피,서울특별시 마포구 동교로 70 (합정동  소와소빌딩1층일부),서울특별시 마포구 합정동 428-4 소와소빌딩1층일부 ,커피숍,
휴게음식점,더 커피,서울특별시 마포구 홍익로2길 13 (서교동  1층일부),서울특별시 마포구 서교동 346-53 ,커피숍,
휴게음식점,더 컴포트커피,서울특별시 마포구 효창목길 3-1  1층 (공덕동),서울특별시 마포구 공덕동 115-4 ,커피숍,
휴게음식점,더그레너리,서울특별시 마포구 토정로 25-12  1층 일부호 (합정동),서울특별시 마포구 합정동 369-5 ,커피숍,
휴게음식점,더나더나,서울특별시 마포구 고산길 31 (노고산동  1층 일부),서울특별시 마포구 노고산동 33-12 ,커피숍,
휴게음식점,더리터 공덕역점,서울특별시 마포구 만리재옛길 10  1층 (신공덕동),서울특별시 마포구 신공덕동 15-8 ,커피숍,
휴게음식점,더벤티 대흥역점,서울특별시 마포구 백범로 105  1층 (대흥동),서울특별시 마포구 대흥동 183 ,커피숍,
휴게음식점,더벤티 마포망원점,서울특별시 마포구 월드컵로 103  1층 (망원동),서울특별시 마포구 망원동 484-5 ,커피숍,
휴게음식점,더벤티 마포프레스티지자이점,서울특별시 마포구 대흥로24길 24  마포프레스티지자이 A동 110호 (염리동),서울특별시 마포구 염리동 14-149 ,커피숍,
휴게음식점,더벤티 상암DMC역점,서울특별시 마포구 성암로 207  상암빌라 1층 (상암동),서울특별시 마포구 상암동 1445 상암빌라 ,커피숍,
휴게음식점,더블하모니,서울특별시 마포구 동교로 99  C&L빌딩 1층 101호 (서교동),서울특별시 마포구 서교동 479-4 C&L빌딩 ,커피숍,
휴게음식점,더치앤빈(DUTCH&BEAN)서울창업허브점,서울특별시 마포구 백범로31길 21 (공덕동  1층일부),서울특별시 마포구 공덕동 370-4 1층일부 ,커피숍,
휴게음식점,더치앤빈신수지점,서울특별시 마포구 토정로 232 (신수동  1층),서울특별시 마포구 신수동 448-9 ,커피숍,
휴게음식점,더키월드 카페(Ducky World Cafe),서울특별시 마포구 양화로18안길 26  천고 4층 (동교동),서울특별시 마포구 동교동 169-1 천고 ,커피숍,
휴게음식점,더퍼즐,서울특별시 마포구 대흥로 188-1  지상2층 (대흥동),서울특별시 마포구 대흥동 2-71 ,커피숍,
휴게음식점,데미타스,서울특별시 마포구 큰우물로 75  112호 (도화동 성지빌딩 1층 상가),서울특별시 마포구 도화동 538 성지빌딩 1층 상가 112호,커피숍,
휴게음식점,데얼커피,서울특별시 마포구 동교로38안길 21  1층 (연남동),서울특별시 마포구 연남동 390-56 ,커피숍,
휴게음식점,데이원(DAY ONE),서울특별시 마포구 와우산로29길 4-13  2 3층 (서교동),서울특별시 마포구 서교동 327-45 ,커피숍,
휴게음식점,데이원(DAY1),서울특별시 마포구 대흥로6길 6-1 (주)쇼마젠시 1층 (용강동),서울특별시 마포구 용강동 494-74 (주)쇼마젠시 ,커피숍,
휴게음식점,데코덴카페내맘케(decoden cafe 내맘케),서울특별시 마포구 와우산로19길 21 (서교동  3층일부),서울특별시 마포구 서교동 363-20 ,커피숍,
휴게음식점,데코아발림,서울특별시 마포구 독막로15길 13-6 (상수동  1층),서울특별시 마포구 상수동 311-4 1층 ,커피숍,
휴게음식점,델트렌2, ,서울특별시 마포구 동교동 172-10 공항철도 홍대입구역 지하2층 하행 ,커피숍,
휴게음식점,도깨비커피집,서울특별시 마포구 연남로13길 21  1층 (성산동),서울특별시 마포구 성산동 606-3 1층 ,커피숍,
휴게음식점,도식화,서울특별시 마포구 와우산로17길 19-9  1층 (서교동),서울특별시 마포구 서교동 409-19 ,커피숍,
휴게음식점,도쿄빙수,서울특별시 마포구 포은로8길 9  1동 좌측 (망원동),서울특별시 마포구 망원동 414-56 ,커피숍,
휴게음식점,도화동베이글,서울특별시 마포구 마포대로 68  1층 115호 (도화동  마포아크로타워),서울특별시 마포구 도화동 563 마포아크로타워 ,커피숍,
휴게음식점,돌담커피,서울특별시 마포구 와우산로29라길 25  1층 (서교동),서울특별시 마포구 서교동 334-17 ,커피숍,
휴게음식점,둡커피바,서울특별시 마포구 서강대길 7  지하1층 103호 (신수동),서울특별시 마포구 신수동 14 ,커피숍,
휴게음식점,뒤팡프레(디자인에이블),서울특별시 마포구 성암로 217  1층 (상암동),서울특별시 마포구 상암동 2-45 ,커피숍,
휴게음식점,드롭탑홍대점,서울특별시 마포구 어울마당로 45-1 (서교동  1 2층),서울특별시 마포구 서교동 403-17 ,커피숍,
휴게음식점,드리미스페이스,서울특별시 마포구 와우산로29나길 7  1층 (서교동),서울특별시 마포구 서교동 336-23 ,커피숍,
휴게음식점,드링크맨션,서울특별시 마포구 성암로13길 16  2층 (상암동),서울특별시 마포구 상암동 1466 ,커피숍,
휴게음식점,드링크박스(Drink Box),서울특별시 마포구 월드컵북로 375  1층 111호 (상암동  디엠씨이안상암단지),서울특별시 마포구 상암동 1654 디엠씨이안상암단지 1층 111호,커피숍,
휴게음식점,디니 케이크,서울특별시 마포구 만리재로 74  상가2동 2층 214호 (신공덕동  신공덕2차삼성래미안),서울특별시 마포구 신공덕동 159 신공덕2차삼성래미안 ,커피숍,
휴게음식점,디저트 라팡(Dessert Lapin),서울특별시 마포구 동교로 142-16  지하1층 (서교동),서울특별시 마포구 서교동 464-52 ,커피숍,
휴게음식점,디저트 앤썸,서울특별시 마포구 연희로 35  1층 102호 (연남동),서울특별시 마포구 연남동 227-1 ,커피숍,
휴게음식점,디저트39마포공덕점,서울특별시 마포구 백범로 152  1층 23 24호 (공덕동),서울특별시 마포구 공덕동 476 ,커피숍,
휴게음식점,디저트카페 커피공원,서울특별시 마포구 월드컵북로44길 58  D동 1층 우측호 (상암동),서울특별시 마포구 상암동 16-3 ,커피숍,
휴게음식점,디카페(D-caffe),서울특별시 마포구 월드컵로13길 34  5층 (망원동  두드림빌딩),서울특별시 마포구 망원동 375-8 두드림빌딩 5층 ,커피숍,
휴게음식점,디토 커피(ditto coffee),서울특별시 마포구 백범로 127  1층 101호 (염리동),서울특별시 마포구 염리동 154-8 ,커피숍,
휴게음식점,디프런트,서울특별시 마포구 동교로51길 77-7  1층 (연남동),서울특별시 마포구 연남동 241-10 ,커피숍,
휴게음식점,딕시랜드(dixieland),서울특별시 마포구 어울마당로 44-1  라꼼마빌딩 1층일부 (서교동),서울특별시 마포구 서교동 408-27 라꼼마빌딩1층일부 ,커피숍,
휴게음식점,딜리커피,서울특별시 마포구 독막로9길 19  1층 (서교동),서울특별시 마포구 서교동 404-24 ,커피숍,
휴게음식점,띠아모마포펜트라우스점,서울특별시 마포구 백범로 205 (신공덕동  펜트라우스상가 지하2층 202  210호),서울특별시 마포구 신공덕동 172 ,커피숍,
휴게음식점,띵크프룻,서울특별시 마포구 와우산로29길 14-12  1층 (서교동),서울특별시 마포구 서교동 327-1 ,커피숍,
휴게음식점,라라(RARA),서울특별시 마포구 독막로 47 (합정동  1층일부),서울특별시 마포구 합정동 410-14 1층일부 ,커피숍,
휴게음식점,라스베이글재화스퀘어점,서울특별시 마포구 독막로 311 (염리동  지1층일부),서울특별시 마포구 염리동 168-9 ,커피숍,
휴게음식점,라스커피,서울특별시 마포구 월드컵로1길 14 (합정동  마포한강푸르지오상업시설 B111-1호),서울특별시 마포구 합정동 472 ,커피숍,
휴게음식점,라인업PC방,서울특별시 마포구 어울마당로 26 (당인동  지1층일부),서울특별시 마포구 당인동 12-1 지1층일부 ,커피숍,
