"년월(STD_YM)","년월일(STD_YMD)","블록코드(BLOCK_CD)","X좌표(X_COORD)","Y좌표(Y_COORD)","유입지코드(INFLOW_CD)","시간대0시~1시미만(AVG_00TMST)","시간대1시~2시미만(AVG_01TMST)","시간대2시~3시미만(AVG_02TMST)","시간대3시~4시미만(AVG_03TMST)","시간대4시~5시미만(AVG_04TMST)","시간대5시~6시미만(AVG_05TMST)","시간대6시~7시미만(AVG_06TMST)","시간대7시~8시미만(AVG_07TMST)","시간대8시~9시미만(AVG_08TMST)","시간대9시~10시미만(AVG_09TMST)","시간대10시~11시미만(AVG_10TMST)","시간대11시~12시미만(AVG_11TMST)","시간대12시~13시미만(AVG_12TMST)","시간대13시~14시미만(AVG_13TMST)","시간대14시~15시미만(AVG_14TMST)","시간대15시~16시미만(AVG_15TMST)","시간대16시~17시미만(AVG_16TMST)","시간대17시~18시미만(AVG_17TMST)","시간대18시~19시미만(AVG_18TMST)","시간대19시~20시미만(AVG_19TMST)","시간대20시~21시미만(AVG_20TMST)","시간대21시~22시미만(AVG_21TMST)","시간대22시~23시미만(AVG_22TMST)","시간대23시~0시미만(AVG_23TMST)"
"201509","20150929","1*0*0*8*1*0*6*0*0*0*",956811.875,1955087,"42760",0,0,0,0,0,0.03,0,0,0.03,0.19,0.24,0.01,0,0,0.02,0.01,0.07,0.03,0.02,0.01,0.01,0,0.74,0.01
"201601","20160109","1*0*0*4*1*0*2*0*0*0*",956372.625,1954885,"11545",0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.03,0.03,0,0.03,0.01,0.02,0.02,0,0.03,0.01
"201603","20160312","1*0*0*7*1*0*2*0*0*0*",958587.1875,1957183,"46890",0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.03,0.04,0,0.01,0,0.01,0,0,0,0,0.03,0.2
"201509","20150920","1*0*0*2*3*0*6*0*0*0*",956571.3125,1953704,"11590",0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0.01,0.06,0.02,0,0.04,0,0,0,0
"201601","20160117","1*0*0*1*2*0*5*0*0*0*",956957.3125,1953653,"43760",0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,0,0.01,0,0,0.03,0,0.06,0.04,0,0,0.03
"201602","20160219","1*0*0*2*4*0*1*0*0*0*",956763.8125,1955403,"48740",0,0,0.04,0,0,0,0,0,0.02,4.55,0.04,0.09,0,0.08,0.13,0.42,0,0.18,0,0,0.03,0.03,0.1,0
"201607","20160728","1*0*0*7*2*0*8*0*0*0*",959813.1875,1957330,"48123",0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.06,0,0,0.02,0,0.01,0,0.03,0,0,0.04,0
"201510","20151013","1*0*0*1*4*0*3*0*0*0*",958290.375,1954581,"29200",0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.02,0.01,0.03,0.01,0.01,0.01,0,0,0.01,0.01,0.02,0.01
"201508","20150803","1*0*0*4*1*0*8*0*0*0*",957106.8125,1957178,"41135",0,0.12,0.01,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0.18,0.14,0,0,0.01,0.01,0,0.01
"201601","20160104","1*0*0*1*4*0*1*0*0*0*",954951.6875,1953704,"11530",0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0.01,0,0.09,0.01,0.1,0.01,0.01,0
"201508","20150811","1*0*0*8*1*0*7*0*0*0*",956570.8125,1955390,"43111",0,0.01,0,0.03,0,0,0.02,0,0,0,0.01,0,0.01,0.09,0.01,0,0.01,0.01,0,0.09,0.01,0,0,0
"201606","20160629","1*0*0*6*4*0*2*0*0*0*",959867.5,1954370,"43111",0,0.03,0,0,0,0,0,0,0,0.03,0.11,0,0.01,0,0,0.01,0.03,0,0.01,0,0.02,0.02,0.02,0.02
"201509","20150911","1*0*0*3*1*0*2*0*0*0*",955347.125,1955714,"41570",0.01,0,0,0,0,0.02,0,0,0,0.02,0,0,0.02,0,0.1,0.01,0,0.01,0.04,0.45,0,0,0.04,0
"201508","20150824","1*0*0*7*4*0*1*0*0*0*",957061.1875,1957281,"41210",0,0,0,0,0,0,0,0,0.19,0.02,0,0,0.03,0.02,0,0.01,0,0.05,0.28,0,0.01,0.01,0,0
"201607","20160704","1*0*0*8*2*0*3*0*0*0*",955835.125,1954115,"47170",0,0,0.02,0,0.01,0.05,0,0,0,0.02,0.02,0.01,0.27,0.17,0,0.01,0,0.01,0,0.1,0.01,0.09,0.02,0
"201604","20160425","1*0*0*8*2*0*1*0*0*0*",957105.5,1956206,"27110",0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,0.01,0.01,0,0,0.16,0.01,0.02,0,0.02,0
"201602","20160210","1*0*0*2*3*0*4*0*0*0*",957253.625,1957175,"11170",0,0,0,0,0,0,0,0,0,0,0.14,0.01,0,0.11,0.01,0.02,0.01,0,0.01,0.03,0,0.06,0.05,0
"201601","20160127","1*0*0*2*4*0*1*0*0*0*",959664.875,1955306,"11470",0.47,0,0,0,0,0,0.02,0,0,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0,0.01,0.02,0,0,0,0
"201601","20160108","1*0*0*7*3*0*3*0*0*0*",960508.125,1954990,"11110",4.6,0,0,0,0,0,0,0,0,0,0.58,0.08,0,0.02,0.04,0,0,0,0,0.38,0.04,0.01,0.06,0
"201601","20160119","1*0*0*6*2*0*7*0*0*0*",960503.625,1955248,"47760",0,0.08,0,0,0.02,0,0,0,0.01,0.02,0,0,0,0.01,0.02,0.03,0,0,0,0,0.01,0.17,0.01,0.23
"201602","20160202","1*0*0*1*2*0*2*0*0*0*",955641.875,1954680,"26140",0.1,0,0,0,0,0,0.03,0.01,0,0.1,0.03,0.02,0,0.04,0,0.01,0,0.02,0,0.03,0.11,0.02,0.11,0.04
"201604","20160408","1*0*0*3*1*0*2*0*0*0*",957700.625,1958054,"41273",0.04,0.02,0,0,0,0,0,0,0.02,0,0.02,0.1,0.1,0,0,0.01,0,0.13,0.02,0,0.14,0,0.03,0
"201604","20160405","1*0*0*2*4*0*3*0*0*0*",955933.6875,1954220,"41630",0,0.03,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0.17,0.01,0.02,0.02,0,0,0.21,0,0,0
"201603","20160330","1*0*0*8*2*0*6*0*0*0*",960066.125,1954369,"47920",0,0,0,0,0,0,0,0.07,0,0.01,0.02,0.03,0,0,0,0.01,0.03,0,0.01,0,0,0.03,0,0.21
"201606","20160606","1*0*0*8*2*0*8*0*0*0*",955299.125,1957542,"28140",0,0,0,0,0,0,0,0.02,0.03,0.01,0,0,0.19,0,0.01,0.11,0.05,0.09,0,0,0,0,0.02,0
"201510","20151025","1*0*0*2*4*0*3*0*0*0*",960253.3125,1957538,"26110",0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.07,0,0.01,0.01,0,0.01,0.04,0.08,0,0.79,0.01,0
